Sex	HrsSleep	SQpick	Height	RandNumb	Fastest	RtSpan	LftSpan	Form
F	7.00	S	64.000	8	70	18.00	17.50	SorQ
F	7.00	S	71.000	4	90	20.00	20.00	SorQ
M	8.00	S	75.000	8	95	23.00	23.00	SorQ
M	11.00	S	67.500	5	100	22.50	22.50	SorQ
M	7.00	S	76.500	7	115	19.50	19.50	SorQ
M	8.00	S	69.000	7	124	22.50	23.50	SorQ
M	6.00	S	71.000	2	95	22.00	22.00	SorQ
M	6.00	S	71.000	7	100	23.00	22.50	SorQ
M	12.00	S	70.000	6	125	22.50	23.50	SorQ
M	8.50	S	68.000	3	140	20.50	20.50	SorQ
M	4.00	S	67.000	4	85	21.50	22.50	SorQ
M	7.50	S	71.000	7	120	23.00	23.00	SorQ
M	7.00	S	74.000	3	115	22.50	23.00	SorQ
M	7.00	S	69.500	6	105	21.50	22.00	SorQ
M	5.00	S	73.000	9	125	25.00	25.00	SorQ
F	8.00	Q	64.000	6	70	21.00	21.00	SorQ
F	7.00	Q	59.000	7	82	19.00	19.50	SorQ
F	7.00	Q	66.000	7	85	22.50	23.00	SorQ
F	8.00	Q	64.000	3	100	21.00	19.00	SorQ
F	10.00	Q	64.000	3	90	20.00	20.00	SorQ
F	8.00	Q	65.500	3	75	19.00	19.50	SorQ
F	7.00	Q	67.000	4	90	21.00	20.00	SorQ
F	10.00	Q	68.000	7	110	20.50	21.50	SorQ
F	8.00	Q	67.000	9	80	21.00	21.00	SorQ
F	3.50	Q	69.500	6	80	22.00	23.00	SorQ
F	7.00	Q	66.000	7	110	20.00	21.00	SorQ
F	8.00	Q	65.000	5	110	20.00	20.00	SorQ
F	5.50	Q	63.000	7	95	18.00	18.00	SorQ
F	7.00	Q	64.000	6	75	21.00	20.00	SorQ
F	9.50	Q	66.000	6	130	22.50	22.00	SorQ
F	6.00	Q	64.000	9	95	22.50	22.00	SorQ
M	16.00	Q	77.000	6	102	24.00	23.00	SorQ
M	6.00	Q	71.000	6	85	21.50	21.50	SorQ
M	8.00	Q	74.000	10	120	21.50	22.50	SorQ
M	6.00	Q	69.000	3	110	18.00	21.50	SorQ
M	5.00	Q	70.000	8	120	20.00	21.00	SorQ
M	5.00	Q	67.000	8	115	22.00	22.50	SorQ
M	8.00	Q	76.000	6	94	24.00	25.00	SorQ
M	6.00	Q	69.000	7	125	22.00	22.00	SorQ
M	7.00	Q	68.000	3	80	23.00	23.00	SorQ
M	6.00	Q	72.000	6	85	22.00	21.50	SorQ
M	7.50	Q	75.000	10	140	22.00	22.50	SorQ
M	7.00	Q	72.000	3	120	23.00	24.50	SorQ
M	8.00	Q	69.000	7	92	22.50	20.50	SorQ
M	6.00	Q	77.000	5	130	25.50	26.00	SorQ
M	7.00	Q	73.000	8	125	24.00	24.00	SorQ
F	5.00	S	71.000	7	110	19.00	20.00	QorS
F	9.00	S	63.000	4	110	19.00	19.00	QorS
F	7.00	S	63.000	8	80	19.00	19.00	QorS
F	4.50	S	65.000	3	90	22.50	23.00	QorS
F	6.00	S	63.000	7	105	20.00	19.00	QorS
F	9.00	S	64.000	5	90	13.00	14.00	QorS
F	7.00	S	65.000	3	110	20.00	20.50	QorS
F	11.00	S	64.000	7	75	22.50	22.00	QorS
F	9.00	S	63.000	4	100	19.50	19.50	QorS
F	9.00	S	65.500	8	90	18.50	19.50	QorS
F	3.50	S	63.000	5	110	17.50	18.50	QorS
F	6.00	S	64.000	9	85	18.00	19.00	QorS
F	7.00	S	68.000	4	90	21.00	21.00	QorS
F	8.00	S	68.000	3	80	19.50	20.00	QorS
F	7.00	S	67.500	7	80	20.00	20.00	QorS
F	6.00	S	65.000	5	85	19.00	19.00	QorS
F	5.00	S	67.000	6	50	21.50	21.50	QorS
F	10.00	S	63.000	6	80	18.00	18.50	QorS
F	6.00	S	66.000	7	100	19.00	19.00	QorS
F	7.00	S	66.000	4	80	19.50	21.00	QorS
F	9.00	S	63.000	3	80	20.00	21.00	QorS
F	10.00	S	68.000	5	80	22.50	22.00	QorS
M	4.00	S	70.000	8	110	23.50	23.50	QorS
M	8.50	S	73.500	4	90	21.00	21.00	QorS
M	6.00	S	74.000	10	110	25.50	25.50	QorS
M	7.00	S	69.000	1	110	23.00	23.00	QorS
M	9.00	S	73.000	7	95	22.50	22.50	QorS
M	6.00	S	73.000	9	95	24.00	23.00	QorS
M	7.00	S	74.000	2	110	21.50	23.00	QorS
M	16.00	S	72.000	4	105	22.00	21.00	QorS
M	7.00	S	73.000	8	80	22.50	22.00	QorS
M	11.00	S	73.000	4	100	23.00	23.00	QorS
M	10.00	S	71.000	7	110	18.50	19.00	QorS
M	9.00	S	73.000	8	130	21.00	20.50	QorS
M	7.00	S	73.500	7	105	24.00	24.50	QorS
M	5.00	S	73.000	4	105	23.50	23.50	QorS
M	4.50	S	72.000	7	120	24.50	24.50	QorS
M	9.00	S	75.000	9	90	23.00	23.00	QorS
M	8.00	S	72.000	2	100	22.00	21.50	QorS
M	6.00	S	73.000	3	105	23.00	23.00	QorS
M	8.00	S	75.000	7	100	23.00	23.00	QorS
M	5.50	S	72.000	6	120	24.00	24.00	QorS
M	8.00	S	70.000	7	100	24.50	24.50	QorS
F	9.00	S	69.000	7	95	21.00	21.00	QorS
F	6.00	Q	63.000	4	100	18.00	18.00	QorS
F	4.00	Q	68.500	7	90	22.00	22.50	QorS
F	7.00	Q	62.000	5	100	18.50	19.00	QorS
F	6.00	Q	66.000	4	95	19.00	19.00	QorS
F	3.50	Q	68.000	2	80	22.00	23.50	QorS
F	8.00	Q	63.000	6	80	12.50	13.50	QorS
F	4.00	Q	67.000	7	50	18.00	18.00	QorS
F	8.00	Q	63.000	7	88	20.50	21.00	QorS
F	5.00	Q	63.500	4	90	19.00	19.00	QorS
F	8.00	Q	64.000	5	90	20.00	20.50	QorS
F	7.00	Q	63.000	8	85	21.00	21.50	QorS
F	10.00	Q	70.000	6	70	19.00	19.00	QorS
F	8.00	Q	61.000	4	90	19.00	19.00	QorS
F	8.00	Q	63.500	7	30	21.00	21.00	QorS
F	8.00	Q	63.000	4	85	18.50	19.00	QorS
F	6.00	Q	65.500	5	85	19.00	19.00	QorS
F	6.00	Q	62.000	9	87	21.50	21.50	QorS
F	4.50	Q	69.000	6	85	21.50	21.50	QorS
F	7.50	Q	70.000	7	90	23.00	23.00	QorS
F	4.75	Q	71.000	7	85	23.25	23.25	QorS
F	6.50	Q	65.000	6	75	20.00	20.50	QorS
F	6.50	Q	64.000	7	90	18.80	19.00	QorS
F	4.00	Q	64.000	3	102	21.00	21.00	QorS
F	10.00	Q	62.000	9	80	17.00	17.00	QorS
F	7.00	Q	70.000	8	100	21.00	22.00	QorS
F	7.50	Q	64.000	3	95	20.00	20.00	QorS
F	7.00	Q	63.000	9	110	20.50	20.00	QorS
F	8.00	Q	64.000	9	80	20.00	20.50	QorS
F	6.00	Q	66.000	8	95	19.50	20.00	QorS
F	5.00	Q	71.000	4	90	21.00	21.00	QorS
F	7.50	Q	62.000	5	80	21.00	20.50	QorS
F	5.00	Q	61.625	2	90	20.00	20.50	QorS
M	8.00	Q	68.000	6	100	20.50	21.00	QorS
M	9.50	Q	73.000	7	80	24.00	24.00	QorS
M	6.00	Q	70.000	7	100	22.00	23.00	QorS
M	10.00	Q	75.000	10	120	23.00	23.50	QorS
M	7.00	Q	75.000	7	105	21.00	20.00	QorS
M	7.50	Q	72.000	5	60	22.50	23.50	QorS
M	5.00	Q	68.000	9	125	21.50	20.00	QorS
M	5.50	Q	78.000	7	120	24.50	25.50	QorS
M	8.00	Q	67.000	2	100	22.00	22.00	QorS
M	8.00	Q	70.000	7	115	22.00	22.00	QorS
M	8.00	Q	69.000	4	95	21.00	21.00	QorS
M	5.00	Q	66.000	6	110	23.00	22.00	QorS
M	5.00	Q	70.000	7	101	22.50	23.00	QorS
M	5.00	Q	70.000	5	80	24.00	24.00	QorS
M	5.50	Q	75.000	5	112	22.50	23.00	QorS
M	8.00	Q	67.500	9	120	23.00	23.00	QorS
M	6.00	Q	70.000	7	110	23.00	23.00	QorS
M	6.00	Q	75.000	5	115	23.00	23.50	QorS
M	3.00	Q	70.000	3	125	21.50	21.50	QorS
M	8.00	Q	72.000	7	55	19.00	19.00	QorS
M	7.00	Q	71.000	5	90	21.50	21.50	QorS
